ID	StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity	CancerType
TCGA-OR-A5J3-01A	-1181.935565	-647.256619	-1829.192184	0.943921704	ACC
TCGA-OR-A5L5-01A	144.1203002	715.9257831	860.0460833	0.74435226	ACC
TCGA-FD-A3SS-01A	-958.7182241	-406.5270659	-1365.24529	0.919265824	BLCA
TCGA-FD-A43S-01A	814.7369497	2279.043295	3093.780245	0.489641088	BLCA
TCGA-UY-A78K-01A	-519.0523	1803.758586	1284.706286	0.701306884	BLCA
TCGA-DK-A2HX-01A	974.0573045	293.2226547	1267.279959	0.703128069	BLCA
TCGA-DK-A1A3-01A	234.876845	675.6341926	910.5110375	0.739385136	BLCA
TCGA-GC-A6I3-01A	-204.8994187	1659.142335	1454.242916	0.683351332	BLCA
TCGA-XF-AAMJ-01A	1198.460263	622.5936721	1821.053935	0.643069341	BLCA
TCGA-GC-A6I1-01A	-166.1316828	2365.048983	2198.9173	0.599625906	BLCA
TCGA-ZF-A9RL-01A	-2185.411156	-893.9369794	-3079.348135	0.988322183	BLCA
TCGA-DK-A3IL-01A	-771.9389119	-257.1177192	-1029.056631	0.898729149	BLCA
